title,description,material,URL,item,target
French Cotton Net Bag,"The French Cotton Net Bag is styled after the fisherman net bags known as filet in France. Made from 100% cotton, the net bag is light and versatile for carrying everything from market groceries to beach essentials and can hold up to 40 lbs. ",100% Cotton,https://wildminimalist.com/collections/market/products/french-cotton-net-bag,Bag,1
Cotton Mesh Produce Bags,These 100% cotton mesh produce bags are a sustainable and reusable alternative to plastic bags. Each bag comes with a handy drawstring to help you keep your food from falling out—no more tying plastic bags in a knot!,100% cotton,https://wildminimalist.com/collections/market/products/cotton-mesh-produce-bags,Bag,1
9OZ SS TUMBLER,"Cheers! This 9oz stainless steel tumbler is perfect for hosting parties, a zero waste lunch kit, or to stick in your bathroom as a toothbrush holder / water cup. ",Stainless Steel,https://packagefreeshop.com/collections/kitchen/products/9oz-ss-tumbler,Bottle,1
BABY BOTTLE,"5oz holds 5 fluid ounces and has a slow-flow nipple recommended for 0-6+ months

9oz holds 9 fluid ounces and has a medium flow nipple recommend for 6+ months

    Contoured tapered bottle designed for little hands
    Easy-to-read measurements on the inside and outside of the bottle
    Wide-mouth for easy filling, pouring and cleaning
    Wide base and nipple shape encourages proper latching
    Soft, medical grade silicone nipple promotes correct oral development and healthy teeth
    Double-venting reduces colic
    Nipple flow rates allow natural-paced relaxed feedings
    Portable, reusable, and recyclable
    Dishwasher safe","stainless steel, Silicone",https://packagefreeshop.com/collections/kitchen/products/baby-bottle-9oz,Bottle,1
Cotton Muslin Produce Bags,"These muslin produce bags are made from 100% cotton and are a sustainable and reusable alternative to plastic bags. The fabric is breathable and can be dampened to keep refrigerated greens crisp. They are also great for holding fine grain bulk items like flour, polenta and quinoa. ",100% cotton,https://wildminimalist.com/collections/market/products/cotton-muslin-produce-bags,Bag,1
Bento Bag,"The possibilities are endless with this beautiful bento bag. The bag is like a cloth basket with two pointed ends that tie together. Fill with your daily lunch, farmer's market fruits and vegetables or use as an overnight bag.  ",,https://wildminimalist.com/collections/market/products/bento-bag,Bag,1
BLACK WATER BOTTLE,This water bottle will make you want to hydrate! It's lightweight and easy to bring anywhere. ,"Stainless Steel body, plastic cap. ",https://packagefreeshop.com/collections/kitchen/products/black-water-bottle,Bottle,1
Cotton Bread Bag,"The Cotton Bread Bag is the perfect carrier for fresh breads, bagels and other baked goods. Each bag features a cotton tie for cinching the bread inside. The cotton fabric is breathable for storing your bread up to three days. ",100% natural cotton,https://wildminimalist.com/collections/market/products/cotton-bread-bag,Bag,1
Cotton Baguette Bag,The Cotton Baguette Bag is essential for bakery lovers. Each bag comfortably fits two baguettes and features a cotton tie for cinching the bread inside. The shoulder strap makes it easy to carry your baguettes by foot or on bicycle. ,100% natural cotton,https://wildminimalist.com/collections/market/products/cotton-baguette-bag,Bag,1
Woven Market Backpack,The market backpack is made from handwoven palm leaves with rich brown leather straps and handles. The market backpack is perfect for biking to the farmers' market and keeping your hands free to gather produce. ,"palm leaves, leather",https://wildminimalist.com/collections/market/products/woven-market-backpack,Bag,1
Wild Minimalist Cotton Tote,"Our Wild Minimalist Cotton Tote is the perfect size for carrying farmer's market produce or daily essentials when you're on the go. Each bag features a 3"" wide gusset so you can comfortably carry books, bottles & other heavy items. ",100% natural cotton,https://wildminimalist.com/collections/market/products/wild-minimalist-cotton-tote,Bag,1
CANNING JAR DRINKING LID - REGULAR MOUTH JARS,One Cuppow lid for wide mouth canning jar can help live a low impact life! This lid will let you turn any wide mouth mason jar into a glass travel mug. It's perfect for everything from coffee to cocktails,"food grade recycled plastic (polypropylene #5), BPA Free, BPS Free (a popular BPA replacement with the similar concerns), Phthalate Free",https://packagefreeshop.com/collections/kitchen/products/cuppow-canning-jar-drinking-lid-regular-mouth-clear,Bottle,1
CANNING JAR DRINKING LID - WIDE MOUTH CLEAR,One Cuppow lid for wide mouth canning jar can help live a low impact life! This lid will let you turn any wide mouth mason jar into a glass travel mug. It's perfect for everything from coffee to cocktails,"food grade recycled plastic (polypropylene #5), BPA Free, BPS Free (a popular BPA replacement with the similar concerns), Phthalate Free",https://packagefreeshop.com/collections/kitchen/products/cuppow-canning-jar-drinking-lid-wide-mouth-clear,Bottle,1
Glass Spray Bottles,"Glass spray bottles are great for homemade cleaning, beauty and hair products as well as aromatherapy. This clear glass bottle is durable and can be refilled again and again. The adjustable sprayer nozzle can be used to spray or mist.","BPA-free, glass",https://wildminimalist.com/collections/cleaning/products/glass-spray-bottle,Bottle,1
COTTON PRODUCE BAG LARGE,"Hold everything! Perfect for produce, bulk dry ingredients and other groceries these easy to use, lightweight bags eliminate the need for disposable plastic bags all together.",Cotton,https://packagefreeshop.com/collections/kitchen/products/drawstring-produce-bag-cotton-large,Bag,1
COTTON PRODUCE BAG MEDIUM,"Drawstring Produce Bag size 8.5""W x 11""H* with tare weight 1.1oz.",Cotton,https://packagefreeshop.com/collections/kitchen/products/drawstring-produce-bag-cotton-large-medium,Bag,1
FRESHNESS EXTENDING PRODUCE BAG XL,"Conventional plastic bags and boxes suffocate vegetables by trapping stale air and ethylene gas.  Our damp cotton Vejibag keeps moisture-loving vegetables and fruits alive and crisp in a high humidity, breathable environment.",Organic un-dyed french terry cotton,https://packagefreeshop.com/collections/kitchen/products/extra-large-vejibag,Bag,1
Stainless Steel Tumbler with Straw,This stainless steel tumbler with a straw is insulated for hot or cold beverages on the go. It features a tight seal so that it won't leak or spill. A favorite for smoothie lovers!,"BPA-free, stainless steel",https://wildminimalist.com/collections/dining/products/stainless-steel-tumbler-with-straw,Bottle,1
Reusable Glass Coffee Cup,"The reusable glass KeepCup is a stylish and sustainable way to grab coffee or tea on-the-go. Each cup features a natural cork band made from the upcycled waste of a wine cork manufacturer. The cup is made from a durable, tempered soda-lime glass and the black lid is BPA-free. ","BPA-free, glass",https://wildminimalist.com/collections/dining/products/reusable-glass-coffee-cup,Bottle,1
GLASS AND CORK REUSABLE BEVERAGE CUP,"Avoid the awkward pause when ordering your coffee in a reusable cup from a barista, these barista approved coffee cups are standard coffee shop sized so your pre-coffee brain doesn't need to think twice. Also, did we mention coffee? (and yes, these can be used for tea too","This 12oz cup is made of fully tempered soda lime glass, the KeepCup Brew Cork Edition features a natural cork band. Made in Portugal using waste product from the wine cork manufacture, the band is beautiful to hold. Over time it’s patina will tell the story of your use. Lid is made of BPA and BPS free Polyproplyene #7 and LDPE #4. ",https://packagefreeshop.com/collections/kitchen/products/keepcup,Bottle,1
GROWLER,This stainless steel growler is designed for keeping carbonated beverages at their peak freshness and taste. It has a leak proof cap that is perfect for beer and wine!,stainless steel lid with silicone ring,https://packagefreeshop.com/collections/kitchen/products/growler-64oz,Bottle,1
Stainless Steel Tumbler,,stainless steel,https://www.zeromarketplace.com/collections/household/products/9ozstainlesssteeltumbler,Bottle,1
INSULATED COFFEE CUP,16 Ounce insulated Container with Silicone Lid,"Stainless steel, Silicone",https://packagefreeshop.com/collections/kitchen/products/insulated-coffee-cup-eggplant-unfinished,Bottle,1
INSULATED GROWLER,This stainless steel insulated growler is totally plastic free and designed for keeping carbonated beverages at their peak freshness and taste. It has a leak proof cap that is perfect for beer and wine!,stainless steel cap with silicone ring,https://packagefreeshop.com/collections/kitchen/products/insulated-growler-64oz,Bottle,1
NET PRODUCE SACK LARGE,Organic cotton net produce sack with drawstring closure,Organic Cotton,https://packagefreeshop.com/collections/kitchen/products/organic-cotton-net-produce-sack-large,Bag,1
